bay,year,date,water_depth_m,sub_depth_m,water_temp,salinty,substrate,grass_cover,shoot_length,seaweed_percent,mussels_pres,gastropods_pres,seastar_pres,caprellidshrimp_pres,telemessus_crab_pres,sponge_pres,Comments
Kinzarof,2008,8/9/2008,0.5, ,14.4,31.7,cobble,0,,15,0,0,0, ,0,0,EELGRASS IS ANNUAL.
Kinzarof,2008,8/9/2008,0.5, ,14.4,31.7,cobble,0,,10,0,0,0, ,0,0,EELGRASS IS ANNUAL.
Kinzarof,2008,8/9/2008,0.5, ,14.4,31.7,cobble,0,,10,0,0,0, ,0,0,EELGRASS IS ANNUAL.
Kinzarof,2008,8/8/2008,1.17,1,12.4,30.2,cobble,0,,70,0,0,0, ,0,0,"NO EELGRASS PRESENT, PHOTOS TAKEN."
Kinzarof,2008,8/8/2008,1.17,1,12.4,30.2,cobble,0,,60,0,0,0, ,0,0,"NO EELGRASS PRESENT, PHOTOS TAKEN."
Kinzarof,2008,8/8/2008,1.17,1,12.4,30.2,cobble,0,,55,0,0,0, ,0,0,"NO EELGRASS PRESENT, PHOTOS TAKEN."
Kinzarof,2008,8/8/2008,1.17,1,12.4,30.2,cobble,0,,80,0,0,0, ,0,0,"NO EELGRASS PRESENT, PHOTOS TAKEN."
Kinzarof,2008,8/14/2008,0.85, ,12.3,29.7,cobble,0,,45,0,0,0, ,0,0,"CLAMS, CORALS ?, SPONGES. ZM IN AREA."
Kinzarof,2008,8/14/2008,0.85, ,12.3,29.7,cobble,0,,40,0,0,0, ,0,0,"CLAMS, CORALS ?, SPONGES. ZM IN AREA."
Kinzarof,2008,8/14/2008,0.85, ,12.3,29.7,cobble,0,,40,0,0,0, ,0,0,"CLAMS, CORALS ?, SPONGES. ZM IN AREA."
Kinzarof,2008,8/14/2008,0.85, ,12.3,29.7,cobble,0,,50,0,0,0, ,0,0,"CLAMS, CORALS ?, SPONGES. ZM IN AREA."
Kinzarof,2008,8/8/2008,1.17,0,12.6,31.5,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/8/2008,1.17,0,12.6,31.5,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/8/2008,1.17,0,12.6,31.5,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/8/2008,1.17,0,12.6,31.5,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/8/2008,0.71,1,14.2,30.2,cobble,0,,100,0,0,0, ,0,0,"NO EELGRASS PRESENT, PHOTOS TAKEN."
Kinzarof,2008,8/8/2008,0.71,1,14.2,30.2,cobble,0,,95,0,0,0, ,0,0,"NO EELGRASS PRESENT, PHOTOS TAKEN."
Kinzarof,2008,8/8/2008,0.71,1,14.2,30.2,cobble,0,,70,0,0,0, ,0,0,"NO EELGRASS PRESENT, PHOTOS TAKEN."
Kinzarof,2008,8/8/2008,0.71,1,14.2,30.2,cobble,0,,100,0,0,0, ,0,0,"NO EELGRASS PRESENT, PHOTOS TAKEN."
Kinzarof,2008,8/9/2008,1.72,0,15.3,29.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,1.72,0,15.3,29.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,1.72,0,15.3,29.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,1.72,0,15.3,29.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/8/2008,0.67,0,13.8,31.6,cobble,0,,100,0,0,0, ,0,0,"BABY TURTONIA, EELGRASS IS ANNUAL."
Kinzarof,2008,8/8/2008,0.67,0,13.8,31.6,cobble,0,,85,0,0,0, ,0,0,"BABY TURTONIA, EELGRASS IS ANNUAL."
Kinzarof,2008,8/8/2008,0.67,0,13.8,31.6,cobble,0,,95,0,0,0, ,0,0,"BABY TURTONIA, EELGRASS IS ANNUAL."
Kinzarof,2008,8/14/2008,0.79, ,12,29.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/14/2008,0.79, ,12,29.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/14/2008,0.79, ,12,29.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/14/2008,0.79, ,12,29.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/8/2008,1.09,0,15.5,29.6,cobble,0,,15,0,0,0, ,0,0,RE-VISIT TO ASSESS SEAWEEDS/ROTOLITHS.
Kinzarof,2008,8/8/2008,1.09,0,15.5,29.6,cobble,0,,20,0,0,0, ,0,0,RE-VISIT TO ASSESS SEAWEEDS/ROTOLITHS.
Kinzarof,2008,8/8/2008,1.09,0,15.5,29.6,cobble,0,,10,0,0,0, ,0,0,RE-VISIT TO ASSESS SEAWEEDS/ROTOLITHS.
Kinzarof,2008,8/8/2008,1.09,0,15.5,29.6,cobble,0,,5,0,0,0, ,0,0,RE-VISIT TO ASSESS SEAWEEDS/ROTOLITHS.
Kinzarof,2008,8/7/2008,1.69,0,15.8,30.7,cobble,0,,100,0,0,0, ,0,0,EELGRASS IN AREA.
Kinzarof,2008,8/7/2008,1.69,0,15.8,30.7,cobble,0,,100,0,0,0, ,0,0,EELGRASS IN AREA.
Kinzarof,2008,8/7/2008,1.69,0,15.8,30.7,cobble,0,,100,0,0,0, ,0,0,EELGRASS IN AREA.
Kinzarof,2008,8/7/2008,1.69,0,15.8,30.7,cobble,0,,100,0,0,0, ,0,0,EELGRASS IN AREA.
Kinzarof,2008,8/9/2008,1.63,0,15.2,30,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,1.63,0,15.2,30,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,1.63,0,15.2,30,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,1.63,0,15.2,30,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,2.16,0,14.6,29.4,cobble,0,,10,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,2.16,0,14.6,29.4,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,2.16,0,14.6,29.4,cobble,0,,20,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,0.94,0,15.7,30.8,cobble,0,,35,0,0,0, ,0,0,MUSSLES IN AREA.
Kinzarof,2008,8/7/2008,0.94,0,15.7,30.8,cobble,0,,30,0,0,0, ,0,0,MUSSLES IN AREA.
Kinzarof,2008,8/8/2008,1.24,0,14.8,29.7,cobble,0,,15,0,0,0, ,1,0,RE-VISIT TO ASSESS SEAWEEDS/ROTOLITHS.
Kinzarof,2008,8/8/2008,1.24,0,14.8,29.7,cobble,0,,5,0,0,0, ,0,0,RE-VISIT TO ASSESS SEAWEEDS/ROTOLITHS.
Kinzarof,2008,8/8/2008,1.24,0,14.8,29.7,cobble,0,,10,0,0,0, ,0,0,RE-VISIT TO ASSESS SEAWEEDS/ROTOLITHS.
Kinzarof,2008,8/8/2008,1.24,0,14.8,29.7,cobble,0,,10,0,0,0, ,0,0,RE-VISIT TO ASSESS SEAWEEDS/ROTOLITHS.
Kinzarof,2008,8/7/2008,0.33,8,18.8,30.2,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,0.33,8,18.8,30.2,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,0.33,8,18.8,30.2,cobble,0,,1,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,0.33,8,18.8,30.2,cobble,0,,1,0,0,0, ,0,0,
Kinzarof,2008,8/9/2008,2.1,0,14,30.2,cobble,0,,100,0,0,0, ,0,0,NO EELGRASS PRESENT.
Kinzarof,2008,8/9/2008,2.1,0,14,30.2,cobble,0,,100,0,0,0, ,0,0,NO EELGRASS PRESENT.
Kinzarof,2008,8/9/2008,2.1,0,14,30.2,cobble,0,,100,0,0,0, ,0,0,NO EELGRASS PRESENT.
Kinzarof,2008,8/9/2008,2.1,0,14,30.2,cobble,0,,100,0,0,0, ,0,0,NO EELGRASS PRESENT.
Kinzarof,2008,8/7/2008,1.47,0,13.8,31.5,cobble,0,,80,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,1.47,0,13.8,31.5,cobble,0,,90,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,1.47,0,13.8,31.5,cobble,0,,80,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,1.47,0,13.8,31.5,cobble,0,,90,0,0,0, ,0,0,
Kinzarof,2008,8/8/2008,1.52, ,15.1,29.8,cobble,0,,30, ,0,0, ,0,0,"EELGRASS NEARBY, CLUMPY ZM."
Kinzarof,2008,8/8/2008,1.52, ,15.1,29.8,cobble,0,,30, ,0,0, ,0,0,"EELGRASS NEARBY, CLUMPY ZM."
Kinzarof,2008,8/8/2008,1.52, ,15.1,29.8,cobble,0,,30, ,0,0, ,0,0,"EELGRASS NEARBY, CLUMPY ZM."
Kinzarof,2008,8/8/2008,1.52, ,15.1,29.8,cobble,0,,30, ,0,0, ,0,0,"EELGRASS NEARBY, CLUMPY ZM."
Kinzarof,2008,8/7/2008,0.05,0,18.3,30.6,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,0.05,0,18.3,30.6,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,0.05,0,18.3,30.6,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2008,8/7/2008,0.05,0,18.3,30.6,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.56,0,11.4,25.7,cobble,0,,5,0,0,0, ,0,0,"macoma shells in all, broken shells in all"
Kinzarof,2009,8/9/2009,0.56,0,11.4,25.7,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.56,0,11.4,25.7,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.56,0,11.4,25.7,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.92,0,10.9,25.7,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.92,0,10.9,25.7,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.92,0,10.9,25.7,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.92,0,10.9,25.7,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.57,0,11.5,25.9,cobble,0,,0,0,0,0, ,0,0,broken shells in all
Kinzarof,2009,8/9/2009,0.57,0,11.5,25.9,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.57,0,11.5,25.9,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.57,0,11.5,25.9,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.91,1,10.2,28.2,cobble,0,,95,0,0,0, ,0,1,
Kinzarof,2009,8/9/2009,0.91,1,10.2,28.2,cobble,0,,55,0,0,0, ,0,1,
Kinzarof,2009,8/9/2009,0.91,1,10.2,28.2,cobble,0,,95,0,0,0, ,0,1,
Kinzarof,2009,8/9/2009,0.91,1,10.2,28.2,cobble,0,,100,0,0,0, ,0,1,
Kinzarof,2009,8/9/2009,0.72,0,10.5,26.2,cobble,0,,10,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.72,0,10.5,26.2,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.72,0,10.5,26.2,cobble,0,,20,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0.72,0,10.5,26.2,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.99,6,11.5,25.7,cobble,0,,35,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.99,6,11.5,25.7,cobble,0,,30,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.99,6,11.5,25.7,cobble,0,,20,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.99,6,11.5,25.7,cobble,0,,30,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.06,0,11.4,25.6,cobble,0,,40,0,0,0, ,0,0,rhodoliths present
Kinzarof,2009,8/10/2009,1.06,0,11.4,25.6,cobble,0,,80,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.06,0,11.4,25.6,cobble,0,,30,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.06,0,11.4,25.6,cobble,0,,15,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,0.57,0,11.7,25.7,cobble,0,,80,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,0.57,0,11.7,25.7,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,0.57,0,11.7,25.7,cobble,0,,20,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,0.57,0,11.7,25.7,cobble,0,,70,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.59,3,13,24.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.59,3,13,24.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.59,3,13,24.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.59,3,13,24.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.85, ,12.3,24.3,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.85, ,12.3,24.3,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.85, ,12.3,24.3,cobble,0,,95,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.85, ,12.3,24.3,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,1.35,5, , ,cobble,0,,90,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,1.35,5, , ,cobble,0,,80,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.91, ,12.3,24.9,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.91, ,12.3,24.9,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.91, ,12.3,24.9,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.91, ,12.3,24.9,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,0.54,9,12,28.3,cobble,0,,100,0,0,0, ,0,0,east quads thick with seaweeds
Kinzarof,2009,8/18/2009,0.54,9,12,28.3,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.87, ,12.2,25.8,cobble,0,,15,0,0,0, ,0,0,chorda present
Kinzarof,2009,8/10/2009,1.87, ,12.2,25.8,cobble,0,,60,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.87, ,12.2,25.8,cobble,0,,20,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.87, ,12.2,25.8,cobble,0,,40,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.83,3, , ,cobble,0,,90,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.83,3, , ,cobble,0,,80,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.83,3, , ,cobble,0,,90,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.83,3, , ,cobble,0,,50,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0, , , ,cobble,0,,0,0,0,0, ,0,0,point on shore
Kinzarof,2009,8/9/2009,0, , , ,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0, , , ,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/9/2009,0, , , ,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.66, ,11.8,27.6,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.66, ,11.8,27.6,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.66, ,11.8,27.6,cobble,0,,85,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.66, ,11.8,27.6,cobble,0,,55,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.72,8, , ,cobble,0,,95,0,0,0, ,0,0,dead bivalves present
Kinzarof,2009,8/11/2009,1.72,8, , ,cobble,0,,90,0,0,0, ,1,0,
Kinzarof,2009,8/11/2009,1.72,8, , ,cobble,0,,90,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.72,8, , ,cobble,0,,95,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,2.21, ,11.3,28.1,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,2.21, ,11.3,28.1,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,2.21, ,11.3,28.1,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,2.21, ,11.3,28.1,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.54, ,11.7,27.7,cobble,0,,70,0,0,0, ,0,0,"probably PT599 not entered correctly, collect algae eudesme"
Kinzarof,2009,8/10/2009,1.54, ,11.7,27.7,cobble,0,,50,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.54, ,11.7,27.7,cobble,0,,5,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.54, ,11.7,27.7,cobble,0,,2,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.45, ,11.7,27.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.45, ,11.7,27.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.45, ,11.7,27.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,1.45, ,11.7,27.6,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,1.53,7,13.8,28.1,cobble,0,,10,0,0,0, ,0,0,"ZM all around point, point in open clump"
Kinzarof,2009,8/18/2009,1.53,7,13.8,28.1,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,1.53,7,13.8,28.1,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,1.53,7,13.8,28.1,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,0.39,0,13.2,27,cobble,0,,0,0,0,0, ,0,0,"visibility very poor, water turbid, sample taken by feel, ch"
Kinzarof,2009,8/18/2009,0.39,0,13.2,27,cobble,0,,30,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,0.39,0,13.2,27,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,1.29,0,10.5,26.4,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,1.29,0,10.5,26.4,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,1.29,0,10.5,26.4,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,1.29,0,10.5,26.4,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.03,0,11.2,28.3,cobble,0,,90,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.03,0,11.2,28.3,cobble,0,,80,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.03,0,11.2,28.3,cobble,0,,100,0,0,1, ,0,1,
Kinzarof,2009,8/11/2009,1.03,0,11.2,28.3,cobble,0,,100,0,0,0, ,0,1,
Kinzarof,2009,8/18/2009,1.47,0,10.5,26.4,cobble,0,,0,0,0,0, ,0,0,
Kinzarof,2009,8/18/2009,1.47,0,10.5,26.4,cobble,0,,40,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,0.78,0,11,25.8,cobble,0,,45,0,0,0, ,0,0,broken shells in all
Kinzarof,2009,8/10/2009,0.78,0,11,25.8,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,0.78,0,11,25.8,cobble,0,,50,0,0,0, ,0,0,
Kinzarof,2009,8/10/2009,0.78,0,11,25.8,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.52,0,13.2,23.8,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.52,0,13.2,23.8,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.52,0,13.2,23.8,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2009,8/11/2009,1.52,0,13.2,23.8,cobble,0,,100,0,0,0, ,0,0,
Kinzarof,2010,8/28/2010,1.18,4,11.2,27.5,cobble,0,,50,0,0,0,0,0,0,"decorator crab, temperature decreasing consistently, Salinit"
Kinzarof,2010,8/28/2010,1.18,4,11.2,27.5,cobble,0,,35,0,0,0,0,0,0,"temperature decreasing consistently, Salinity increasing"
Kinzarof,2010,8/3/2010,0.68,2,11.8,27.4,cobble,0,,70,0,0,0,0,0,0,
Kinzarof,2010,8/2/2010,1.29,10,12.6,26.9,cobble,0,,80,0,0,0,0,0,0,
Kinzarof,2010,8/2/2010,1.29,10,12.6,26.9,cobble,0,,60,0,0,0,0,0,0,
Kinzarof,2010,8/2/2010,1.29,10,12.6,26.9,cobble,0,,70,0,0,0,0,0,0,
Kinzarof,2010,8/2/2010,1.29,10,12.6,26.9,cobble,0,,60,0,0,0,0,0,0,
Kinzarof,2010,8/3/2010,1.08,0,11.6,27.5,cobble,0,,100,0,0,0,0,0,0,
Kinzarof,2010,8/3/2010,1.08,0,11.6,27.5,cobble,0,,100,0,0,0,0,0,0,
Kinzarof,2010,8/3/2010,1.08,0,11.6,27.5,cobble,0,,90,0,0,0,0,0,0,
Kinzarof,2010,8/3/2010,1.08,0,11.6,27.5,cobble,0,,50,0,0,0,0,0,0,
Kinzarof,2010,8/3/2010,0.7,2,12.7,27.5,cobble,0,,70,0,0,0,0,0, ,
Kinzarof,2010,8/3/2010,0.7,2,12.7,27.5,cobble,0,,90,0,0,0,0,0,0,
Kinzarof,2010,8/3/2010,0.7,2,12.7,27.5,cobble,0,,80,0,0,0,0,0, ,
Kinzarof,2010,8/3/2010,0.7,2,12.7,27.5,cobble,0,,95,0,0,0,0,0,0,
Kinzarof,2010,8/18/2010,1.44,0,10.8,26.6,cobble,0,,100,0,0,0,0,0,0,
Kinzarof,2010,8/18/2010,1.44,0,10.8,26.6,cobble,0,,100,0,0,0,0,0,0,
Kinzarof,2010,8/18/2010,1.44,0,10.8,26.6,cobble,0,,100,0,0,0,0,0,0,"hydroid, also FFB found in seaweed sample"
Kinzarof,2010,8/3/2010,0.92,0,11.8,27.4,cobble,0,,100,0,0, ,0,0,0,non-pisaster starfish
